repo,groundTruthLinesOfCode,webpackLinesOfCode,ourSolutionLinesOfCode
,,,
,,,
,,,
,,,
fast-html-parser,1458,81,81
,,,
,,,
,,,
,,,
normalize-object,380,19,25
raptor-logging,563,0,0
commitlint-config-cz,775,347,163
json-circular-stringify,224,15,4
,,,
esformatter-braces,273,106,44
,,,
,,,
passport-trusted-header,9,6,3
,,,
nunjucks-comma-filter,544,156,59
hapi-forwarded-for,38,18,8
django-channels,7863,295,28
,,,
,,,
remark-docusaurus-tabs,43,18,30
ddp.js,907,82,20
,,,
cytoscape-cise,6041,0,0
shallow-with-context,6758,0,0
jest-jenkins-reporter,476,127,92
passport.socketio,106,8,10
,,,
,,,
exists-file,21,14,20
,,,
express-boom,302,0,0
,,,
,,,
pagexray,1001,106,5
,,,
utils-properties-parse,0,395,71
,,,
,,,
,,,
eslint-plugin-react-filenames,1697,795,130
hubot-robin,11299,72,34
,,,
sluglife,10976,99,85
postcss-em-media-query,68,24,6
color-generator,459,219,43
,,,
describe-property,20,10,1
compute-dtype,174,21,30
,,,
,,,
,,,
koa-respond,50,10,19
node-dig-dns,4059,7,0
nuxt-facebook-pixel-module,0,311,9
feathers-query-filters,636,322,75
,,,
,,,
shallow-element-equals,158,42,19
,,,
chunk-text,120,50,0
,,,
